artist_name,music,main_genre,release date,explicit track
Martin Solveig,Hello,electronic,,
Linkin Park,The Catalyst,metal,,
Lloyd Banks,"Beamer, Benz, Or Bentley",hip_hop,,
Katharine McPhee,Terrified,pop,,
The Sugarhill Gang,Rapper's Delight,hip_hop,,
Rihanna,Cheers (Drink To That),pop,,
Andrew Belle,In My Veins,pop,,
Kesha,Blah Blah Blah,pop,,
Parov Stelar,Booty Swing,electronic,,
SoulChef,Write This Down,rb_soul,,
Kid Cudi,Marijuana,hip_hop,,
Alan Jackson,Good Time,world,,
Cultura ProfÃ©tica,La Complicidad,rock,,
Cartel De Santa,El RatÃ³n y el Queso,hip_hop,,
Rihanna,Skin,pop,,
The Chicks,Not Ready to Make Nice,world,,
Metric,Black Sheep,indie,,
Selena,Baila Esta Cumbia,pop,,
Benjamin Francis Leftwich,Atlas Hands,pop,,
Cartel De Santa,Volar Volar,hip_hop,,
Ludacris,How Low,hip_hop,,
Nicki Minaj,Your Love,pop,,
Lady A,American Honey,pop,,
Justin Bieber,U Smile,pop,,
Enjambre,Visita,rock,,
Eminem,Cold Wind Blows,hip_hop,,
Eminem,Won't Back Down,hip_hop,,
FrÃ©dÃ©ric Chopin,"Nocturne en Mi BÃ©mol Majeur, Op. 9 No. 2",classical,,
Zero 7,In The Waiting Line,electronic,,
Good Charlotte,I Just Wanna Live,metal,,
Kings of Leon,Radioactive,rock,,
Eminem,W.T.P.,hip_hop,,
Kanye West,Lost In The World,hip_hop,,
Black Eyed Peas,Donât Stop The Party,pop,,
Jason Aldean,Fly over States,world,,
Puddle Of Mudd,Psycho,metal,,
Taylor Swift,Haunted,pop,,
Example,Kickstarts,electronic,,
Maroon 5,Never Gonna Leave This Bed,pop,,
Christina Aguilera,Show Me How You Burlesque,pop,,
Pendulum,Witchcraft,electronic,,
Afgan,Bukan Cinta Biasa,pop,,
Sexion d'Assaut,DÃ©solÃ©,hip_hop,,
Taylor Swift,Long Live,pop,,
John Mellencamp,Pink Houses,rock,,
ManÃ¡,Me Vale,pop,,
Clay Walker,She Won't Be Lonely Long,world,,
Duck Sauce,Barbra Streisand,electronic,,
Two Door Cinema Club,I Can Talk,rock,,
Flo Rida,"Turn Around (5,4,3,2,1)",pop,,
Alan Jackson,Country Boy,world,,
The Neighbourhood,Sweater Weather,rock,1/1/2012,0.0
Tom Odell,Another Love,pop,1/1/2012,1.0
Imagine Dragons,Demons,rock,1/1/2012,0.0
Passenger,Let Her Go,pop,7/27/2012,0.0
Passenger,Let Her Go,pop,1/1/2012,0.0
Bruno Mars,When I Was Your Man,pop,12/7/2012,0.0
Bruno Mars,Locked out of Heaven,pop,,
Maroon 5,Payphone,pop,1/1/2012,1.0
Calvin Harris,We Found Love,pop,,
Kendrick Lamar,Money Trees,hip_hop,1/1/2012,1.0
Pitbull,Timber,pop,,
Lana Del Rey,Summertime Sadness,pop,1/1/2011,0.0
The Script,Hall of Fame,rock,,
Rihanna,Diamonds,pop,1/1/2012,0.0
Carly Rae Jepsen,Call Me Maybe,pop,1/1/2012,0.0
MKTO,Classic,pop,1/1/2012,0.0
P!nk,Just Give Me a Reason,pop,9/14/2012,0.0
Rihanna,Stay,pop,1/1/2012,0.0
One Direction,What Makes You Beautiful,pop,1/1/2011,0.0
The Lumineers,Ho Hey,pop,1/1/2012,0.0
Macklemore & Ryan Lewis,Thrift Shop,pop,,
fun.,We Are Young,,,
Swedish House Mafia,Don't You Worry Child,electronic,,
Frank Ocean,Lost,hip_hop,,
Of Monsters and Men,Little Talks,pop,1/1/2011,0.0
Disclosure,Latch,electronic,1/1/2013,0.0
Bruno Mars,Treasure,pop,,
Frank Ocean,Thinkin Bout You,hip_hop,,
Imagine Dragons,On Top Of The World,rock,,
Maroon 5,One More Night,pop,1/1/2012,0.0
Icona Pop,I Love It,pop,,
Justin Bieber,Beauty And A Beat,pop,1/1/2012,0.0
Neon Trees,Everybody Talks,rock,12/19/2011,1.0
Taylor Swift,I Knew You Were Trouble.,pop,1/1/2012,0.0
Jason Mraz,I Won't Give Up,pop,1/1/2012,0.0
alt-J,Breezeblocks,rock,,
Flo Rida,Whistle,pop,9/27/2010,0.0
James Arthur,Impossible,pop,,
Ellie Goulding,Burn,electronic,1/1/2012,0.0
will.i.am,Scream & Shout,pop,11/20/2012,1.0
Chief Keef,Love Sosa,rb_soul,1/1/2012,1.0
Kendrick Lamar,Swimming Pools (Drank),hip_hop,1/1/2012,1.0
Kendrick Lamar,m.A.A.d city,hip_hop,,
Adele,Skyfall,pop,,
Kendrick Lamar,"Bitch, Donât Kill My Vibe",hip_hop,,
Kesha,Die Young,pop,,
Train,Drive By,pop,,
Pitbull,Feel This Moment,pop,1/1/2009,0.0
Lana Del Rey,Born To Die,pop,,
Mumford & Sons,I Will Wait,rock,,
Mac DeMarco,My Kind of Woman,electronic,,
fun.,Some Nights,,,
P!nk,Try,pop,1/1/2012,0.0
Taylor Swift,We Are Never Ever Getting Back Together,pop,1/1/2012,0.0
Alicia Keys,Girl on Fire,pop,,
Kid Cudi,Pursuit Of Happiness,hip_hop,,
Owl City,Good Time,electronic,,
One Direction,Little Things,pop,,
Lana Del Rey,Radio,pop,,
Zedd,Clarity,electronic,,
Lana Del Rey,Diet Mountain Dew,pop,,
One Direction,They Don't Know About Us,pop,,
Katy Perry,Part Of Me,pop,,
MARINA,Bubblegum Bitch,pop,,
Justin Bieber,Boyfriend,pop,1/1/2012,0.0
Kendrick Lamar,Poetic Justice,hip_hop,,
Calvin Harris,Sweet Nothing,pop,,
Daddy Yankee,Limbo,hip_hop,1/1/2012,0.0
LeÃ³n Larregui,Brillas,rock,,
Tame Impala,Feels Like We Only Go Backwards,indie,,
Calvin Harris,I Need Your Love,pop,,
Nate Dogg,Regulate,hip_hop,,
PSY,Gangnam Style,pop,,
Linkin Park,BURN IT DOWN,metal,,
Katy Perry,Wide Awake,pop,1/1/2012,0.0
Olly Murs,Troublemaker,pop,,
Ellie Goulding,How Long Will I Love You,electronic,,
The Lumineers,Stubborn Love,pop,,
Florida Georgia Line,Cruise,world,1/1/2012,0.0
Lana Del Rey,National Anthem,pop,,
Lana Del Rey,Blue Jeans,pop,,
ManÃ¡,Oye Mi Amor,pop,,
Avicii,I Could Be The One (Avicii Vs. Nicky Romero),pop,,
Rihanna,Loveeeeeee Song,pop,,
Pierce The Veil,King For A Day,rock,,
Lana Del Rey,Dark Paradise,pop,,
Mike WiLL Made-It,Pour It Up,hip_hop,,
One Direction,Kiss You,pop,,
Miguel,Adorn,rb_soul,,
Kendrick Lamar,Backseat Freestyle,hip_hop,,
Frank Ocean,Super Rich Kids,hip_hop,,
Ray Charles,Hit the Road Jack,rb_soul,,
Justin Bieber,As Long As You Love Me,pop,,
Phillip Phillips,"Gone, Gone, Gone",other,,
Kanye West,Mercy,hip_hop,1/1/2012,1.0
Taylor Swift,22,pop,,
One Direction,Live While We're Young,pop,,
Meek Mill,Dreams and Nightmares,hip_hop,,
Linkin Park,CASTLE OF GLASS,metal,,
MARINA,Primadonna,pop,,
Guy Sebastian,Battle Scars,pop,,
Lana Del Rey,Ride,pop,,
Emeli SandÃ©,"Read All About It, Pt. III",rb_soul,,
One Direction,One Thing,pop,,
Frank Ocean,Pyramids,hip_hop,,
The Lumineers,Flowers In Your Hair,pop,,
Marconi Union,Weightless Part 1,rb_soul,,
Of Monsters and Men,Dirty Paws,pop,,
Chief Keef,Hate Bein' Sober,rb_soul,,
Mac DeMarco,Freaking Out the Neighborhood,electronic,,
Carla Morrison,Disfruto,world,,
Maroon 5,Daylight,pop,,
MARINA,How to Be a Heartbreaker,pop,,
Thousand Foot Krutch,Courtesy Call,metal,,
Labrinth,Beneath Your Beautiful,pop,,
Phillip Phillips,Home,other,,
Zedd,Stay The Night,electronic,,
Wisin & Yandel,Algo Me Gusta De Ti,hip_hop,,
Asaf Avidan,One Day / Reckoning Song (Wankelmut Remix),pop,,
Grimes,Genesis,pop,,
Alfredo Olivas,El Precio De La Soledad,world,,
Pablo AlborÃ¡n,DÃ³nde estÃ¡ el amor,pop,,
Family of the Year,Hero,rock,,
Sleeping At Last,Turning Page,rb_soul,,
Mi Banda El Mexicano,Ramito De Violetas,world,,
Frank Ocean,Pink Matter,hip_hop,,
Muse,Madness,rock,,
Tame Impala,Elephant,indie,,
Chief Keef,I Don't Like,rb_soul,,
Skrillex,Make It Bun Dem,electronic,,
Passion Pit,Take a Walk,rock,,
Up Dharma Down,Tadhana,world,,
Grimes,Oblivion,pop,,
Bridgit Mendler,Ready or Not,pop,,
Xavier Rudd,Follow The Sun,indie,,
DJ Nelson,La Pregunta,world,,
Bingo Players,Get Up (Rattle) [feat. Far East Movement],electronic,,
Lee Brice,Hard To Love,world,,
Taylor Swift,Everything Has Changed,pop,,
Flo Rida,I Cry,pop,,
Don Omar,Dutty Love,hip_hop,,
Azealia Banks,212,hip_hop,,
Vicentico,No Te Apartes de MÃ­,rock,,
The Living Tombstone,Discord,electronic,,
Romeo Santos,Promise,world,,
Millonario & W. Corona,Ãxtasis,hip_hop,,
Canserbero,Es Ãpico,hip_hop,,
Romeo Santos,LlÃ©vame Contigo,world,,
Melendi,Tu jardÃ­n con enanitos,pop,,
Canserbero,MaquiavÃ©lico,hip_hop,,
Cali Y El Dandee,Yo Te EsperarÃ©,pop,,
Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),hip_hop,,
Zara Larsson,Uncover,pop,,
Twenty One Pilots,Migraine,rock,,
Taylor Swift,Red,pop,,
Los Bukis,Tu CÃ¡rcel,world,,
Imagine Dragons,Bleeding Out,rock,,
Taylor Swift,All Too Well,pop,,
ScHoolboy Q,Hands on the Wheel,hip_hop,,
Maroon 5,Love Somebody,pop,,
Gajendra Verma,Mann Mera,pop,,
Calvin Harris,Thinking About You,pop,,
Of Monsters and Men,Mountain Sound,pop,,
Bruno Mars,Gorilla,pop,,
Romeo Santos,La Diabla,world,,
Nicki Minaj,Va Va Voom,pop,,
Frank Ocean,Forrest Gump,hip_hop,,
Taylor Swift,Safe & Sound,pop,,
Lana Del Rey,Off To The Races,pop,,
Otto Knows,Million Voices,electronic,,
Bruno Mars,Young Girls,pop,,
The xx,Angels,electronic,,
Calvin Harris,Let's Go,pop,,
P!nk,True Love,pop,,
Avicii,Silhouettes,pop,,
Kip Moore,Somethin' 'Bout A Truck,world,,
Crystal Castles,Kerosene,electronic,,
P!nk,Blow Me (One Last Kiss),pop,,
Carla Morrison,Eres TÃº,world,,
Jennifer Lopez,Dance Again,pop,,
The Neighbourhood,Wires,rock,,
Black Veil Brides,In The End,metal,,
Swedish House Mafia,Greyhound,electronic,,
Natiruts,Quero Ser Feliz TambÃ©m,world,,
Rudimental,Feel the Love,pop,,
USHER,Scream,hip_hop,,
The Wanted,Chasing The Sun,pop,,
Canserbero,JeremÃ­as 17-5,hip_hop,,
Little Mix,Wings,pop,,
Pierce The Veil,A Match Into Water,rock,,
Bahamas,Lost In The Light,indie,,
Florida Georgia Line,Round Here,world,,
Romeo Santos,Mi Santa,world,,
Travis Porter,Ayy Ladies,hip_hop,,
Rihanna,What Now,pop,,
The Paper Kites,Paint,indie,,
Kendrick Lamar,The Recipe,hip_hop,,
Calvin Harris,We'll Be Coming Back,pop,,
Pitbull,Don't Stop the Party,pop,,
Canserbero,Stupid Love Story,hip_hop,,
Emeli SandÃ©,Next To Me,rb_soul,,
B.o.B,So Good,rock,,
Nicki Minaj,High School,pop,,
Pritam,Raabta,world,,
LiSA,crossing field,pop,,
Halestorm,I Miss the Misery,metal,,
Robbie Williams,Candy,rock,,
Chris Brown,Don't Wake Me Up,rb_soul,,
Twenty One Pilots,Guns for Hands,rock,,
Wiz Khalifa,"Work Hard, Play Hard",hip_hop,,
The 1975,Sex,rock,,
Train,50 Ways to Say Goodbye,pop,,
Chet Faker,No Diggity,pop,,
Lana Del Rey,Carmen,pop,,
Alabama Shakes,Hold On,indie,,
Santigold,Disparate Youth,electronic,,
Bridgit Mendler,Hurricane,pop,,
Los Cadetes De Linares,Los Dos Amigos,world,,
alt-J,Tessellate,rock,,
Carla Morrison,DÃ©jenme Llorar,world,,
Lil Wayne,Rich As Fuck,hip_hop,,
Kendrick Lamar,"Sing About Me, I'm Dying Of Thirst",hip_hop,,
Chris Brown,Turn Up the Music,rb_soul,,
alt-J,Fitzpleasure,rock,,
Florida Georgia Line,Get Your Shine On,world,,
Los Cadetes De Linares,No Hay Novedad,world,,
Stone Sour,Absolute Zero,metal,,
No Te Va Gustar,A las Nueve,rock,,
Crystal Castles,Transgender,electronic,,
Jesse & Joy,Llorar,pop,,
ManÃ¡,Vivir Sin Aire,pop,,
Thousand Foot Krutch,War of Change,metal,,
Lana Del Rey,Million Dollar Man,pop,,
Bob Marley & The Wailers,"Get Up, Stand Up",world,,
Linkin Park,LOST IN THE ECHO,metal,,
Lana Del Rey,Cola,pop,,
Famy,Ava,,,
Jason Mraz,93 Million Miles,pop,,
fun.,Carry On,,,
The Game,Ali Bomaye,hip_hop,,
Frank Ocean,Sweet Life,hip_hop,,
One Direction,Over Again,pop,,
Daddy Yankee,Lovumba,hip_hop,,
Loreen,Euphoria,pop,,
Khaled,C'est La Vie,hip_hop,,
alt-J,Taro,rock,,
Twenty One Pilots,Ode to Sleep,rock,,
alt-J,Something Good,rock,,
One Direction,More Than This,pop,,
ManÃ¡,CorazÃ³n Espinado,pop,,
Of Monsters and Men,King And Lionheart,pop,,
MARINA,Teen Idle,pop,,
WALK THE MOON,Anna Sun,rock,,
Daddy Yankee,Pasarela,hip_hop,,
Pierce The Veil,Bulls In The Bronx,rock,,
Frank Ocean,Bad Religion,hip_hop,,
Beach House,Myth,pop,,
Michael Kiwanuka,Home Again,pop,,
Lana Del Rey,This Is What Makes Us Girls,pop,,
Thomas Rhett,Make Me Wanna,world,,
Michael Schulte,You Said You'd Grow Old With Me,pop,,
Elvis Costello,She,pop,,
Joan Sebastian,DisÃ©Ã±ame,world,,
Los Cadetes De Linares,El Palomito,world,,
Two Door Cinema Club,Sun,rock,,
Ellie Goulding,Anything Could Happen,electronic,,
The Lumineers,Slow It Down,pop,,
Bruno Mars,If I Knew,pop,,
CRO,Einmal um die Welt,electronic,,
ManÃ¡,Te LlorÃ© Un RÃ­o,pop,,
Clams Casino,I'm God,hip_hop,,
Parov Stelar,All Night,electronic,,
Mumford & Sons,Babel,rock,,
Jason Aldean,Night Train,world,,
Mi Banda El Mexicano,Feliz Feliz,world,,
Maejor,Lights Down Low,hip_hop,,
French Montana,Pop That,hip_hop,,
Miguel,How Many Drinks?,rb_soul,,
One Direction,Rock Me,pop,,
Calvin Harris,Drinking from the Bottle,pop,,
The Script,If You Could See Me Now,rock,,
One Direction,Last First Kiss,pop,,
Carrie Underwood,Blown Away,world,,
Juan Luis Guerra 4.40,Las Avispas,world,,
Lana Del Rey,Gods & Monsters,pop,,
Secondhand Serenade,Fall for You (Acoustic),pop,,
Frank Ocean,Crack Rock,hip_hop,,
Rihanna,Nobody's Business,pop,,
Rick Ross,Stay Schemin,hip_hop,,
USHER,Climax,hip_hop,,
Tyga,Faded,hip_hop,,
Imagine Dragons,Tiptoe,rock,,
Milow,Ayo Technology,pop,,
Ellie Goulding,My Blood,electronic,,
Zedd,Spectrum,electronic,,
Los Bukis,Yo Te Necesito,world,,
Carla Morrison,Hasta la Piel,world,,
Emeli SandÃ©,Clown,rb_soul,,
Turma do Pagode,Lancinho,hip_hop,,
Hoodie Allen,No Interruption,pop,,
Justin Bieber,All Around The World,pop,,
James Vincent McMorrow,Wicked Game,pop,,
Maroon 5,Lucky Strike,pop,,
In This Moment,Whore,metal,,
Don Omar,Zumba,hip_hop,,
MarÃ­a JosÃ©,Prefiero Ser Su Amante,world,,
Romeo Santos,Debate De 4,world,,
Little Big Town,Pontoon,world,,
Lana Del Rey,Lolita,pop,,
Boyce Avenue,Fast Car,pop,,
Faithless,Insomnia,electronic,,
Easton Corbin,All Over The Road,world,,
Alan Silvestri,The Avengers,classical,,
Mumford & Sons,Hopeless Wanderer,rock,,
Mac Miller,Loud,hip_hop,,
Florida Georgia Line,Stay,world,,
Knife Party,Bonfire,electronic,,
Taylor Swift,Begin Again,pop,,
The Weeknd,Twenty Eight,rb_soul,,
Bastille,Flaws,rock,,
alt-J,Matilda,rock,,
No Te Va Gustar,Ese Maldito Momento,rock,,
Wiz Khalifa,Medicated,hip_hop,,
BIGBANG,FANTASTIC BABY,pop,,
Los AutÃ©nticos Decadentes,No Me Importa el Dinero,rock,,
Karmin,Brokenhearted,pop,,
LeÃ³n Larregui,Souvenir,rock,,
The Weeknd,The Zone,rb_soul,,
Rihanna,Right Now,pop,,
Marteria,Lila Wolken,hip_hop,,
One Direction,Up All Night,pop,,
Daddy Yankee,Ven Conmigo,hip_hop,,
MIKA,Popular Song,pop,,
The Shins,Simple Song,indie,,
Daddy Yankee,Llegamos A La Disco,hip_hop,,
Dierks Bentley,5-1-5-0,world,,
El Cuarteto De Nos,Enamorado tuyo,rock,,
Shinedown,Enemies,metal,,
Ciro y los Persas,Me Gusta,rock,,
Kendrick Lamar,The Art of Peer Pressure,hip_hop,,
Warren G,Party We Will Throw Now!,hip_hop,,
Frank Ocean,Sierra Leone,hip_hop,,
2 Chainz,No Lie,hip_hop,,
CRO,Easy,electronic,,
Lana Del Rey,Without You,pop,,
Kid Ink,Hell & Back,pop,,
One Direction,Gotta Be You,pop,,
Pierce The Veil,Hell Above,rock,,
Los Inquietos Del Norte,Mi Amigo el de Arriba,world,,
C-Kan,Esta Vida Me Encanta,,,
Die Antwoord,Baby's On Fire,rock,,
Far East Movement,Live My Life,hip_hop,,
Mumford & Sons,Lover of the Light,rock,,
Hardwell,Call Me A Spaceman,electronic,,
Natiruts,Andei SÃ³,world,,
Romeo Santos,Que Se Mueran,world,,
Noah,Separuh Aku,indie,,
Linkin Park,ROADS UNTRAVELED,metal,,
One Direction,I Would,pop,,
Ray Charles,Georgia on My Mind,rb_soul,,
Sammy & Falsetto,Yo SÃ© Que TÃº Quieres,world,,
Lindsey Stirling,Crystallize,pop,,
The Piano Guys,A Thousand Years,pop,,
Olly Murs,Dear Darlin',pop,,
El Cuarteto De Nos,Lo malo de ser bueno,rock,,
MKTO,American Dream,pop,,
Justin Bieber,Maria,pop,,
2 Chainz,I'm Different,hip_hop,,
The Lumineers,Dead Sea,pop,,
Willie ColÃ³n,El DÃ­a De Mi Suerte,world,,
Gary Allan,Every Storm (Runs Out Of Rain),world,,
Sohail Sen,Saiyaara,world,,
The Weeknd,D.D.,rb_soul,,
MKTO,Wasted,pop,,
Canserbero,Mundo de Piedra,hip_hop,,
Canserbero,LlovÃ­a,hip_hop,,
Voz De Mando,Y Ahora Resulta,world,,
Labrinth,Earthquake,pop,,
Banda El Recodo,Deja,world,,
Gripin,AÅk Nerden Nereye,rock,,
Chicago,Saturday in the Park,rock,,
Jason Aldean,When She Says Baby,world,,
The Mowgli's,San Francisco,rock,,
One Direction,She's Not Afraid,pop,,
Chris Brown,Don't Judge Me,rb_soul,,
Jake Bugg,Lightning Bolt,indie,,
One Direction,"C'mon, C'mon",pop,,
Hopsin,Ill Mind of Hopsin 5,hip_hop,,
Die Antwoord,I Fink U Freeky,rock,,
Romeo Santos,You,world,,
Don Omar,No Sigue Modas Aka Ella No Sigue Modas,hip_hop,,
Mac Miller,Fight the Feeling,hip_hop,,
Travis Porter,Bring It Back,hip_hop,,
One Direction,Moments,pop,,
Kesha,C'Mon,pop,,
DLD,Todo Cuenta,rock,,
Tom Odell,Can't Pretend,pop,,
Kendrick Lamar,good kid,hip_hop,,
Ciro y los Persas,MÃ­renla,rock,,
Vance Joy,Riptide,pop,1/1/2013,0.0
Hozier,Take Me to Church,rock,9/16/2013,0.0
Hozier,Take Me to Church,rock,9/13/2013,0.0
Ed Sheeran,Photograph,pop,1/1/2013,0.0
OneRepublic,Counting Stars,pop,1/1/2013,0.0
Ed Sheeran,Thinking out Loud,pop,11/20/2011,0.0
Avicii,Wake Me Up,pop,1/1/2013,0.0
Arctic Monkeys,I Wanna Be Yours,rock,1/1/2013,0.0
Arctic Monkeys,Do I Wanna Know?,rock,1/1/2013,0.0
Arctic Monkeys,Why'd You Only Call Me When You're High?,rock,1/1/2013,0.0
Bastille,Pompeii,rock,1/1/2013,0.0
MAGIC!,Rude,world,7/23/2013,0.0
Milky Chance,Stolen Dance,pop,1/1/2013,0.0
Katy Perry,Dark Horse,pop,11/27/2013,0.0
Katy Perry,Dark Horse,pop,1/1/2013,0.0
Lana Del Rey,Young And Beautiful,pop,1/1/2013,0.0
Capital Cities,Safe And Sound,pop,1/1/2012,0.0
One Direction,Story of My Life,pop,10/28/2013,0.0
Lorde,Royals,pop,1/1/2012,0.0
George Ezra,Budapest,pop,11/3/2013,0.0
Katy Perry,Roar,pop,1/1/2013,0.0
Kodaline,All I Want,pop,,
Daft Punk,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],electronic,,
Eminem,Rap God,hip_hop,,
A Great Big World,Say Something,rock,11/4/2013,0.0
Justin Timberlake,Mirrors,pop,1/1/2013,0.0
Arctic Monkeys,R U Mine?,rock,,
Eminem,The Monster,hip_hop,,
Avicii,Hey Brother,pop,1/1/2013,0.0
Drake,"Hold On, We're Going Home",hip_hop,,
Miley Cyrus,We Can't Stop,pop,1/1/2013,0.0
Kanye West,Bound 2,hip_hop,1/1/2013,1.0
Cage The Elephant,Cigarette Daydreams,rock,,
Ed Sheeran,I See Fire,pop,,
Miley Cyrus,Wrecking Ball,pop,1/1/2013,0.0
Robin Thicke,Blurred Lines,pop,,
PARTYNEXTDOOR,Break from Toronto,rb_soul,,
Demi Lovato,Heart Attack,pop,1/1/2013,0.0
Childish Gambino,V. 3005,hip_hop,,
Lorde,Team,pop,,
A$AP Rocky,F**kin' Problems,hip_hop,10/24/2012,1.0
Lil Wayne,Love Me,hip_hop,1/1/2013,1.0
Paramore,Still into You,pop,,
Romeo Santos,Propuesta Indecente,world,1/1/2013,0.0
Ed Sheeran,Don't,pop,,
Fitz and The Tantrums,Out of My League,indie,,
John Newman,Love Me Again,pop,,
Darius Rucker,Wagon Wheel,hip_hop,1/1/2013,0.0
Jason Derulo,Talk Dirty,pop,,
Lana Del Rey,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais),pop,,
Jason Derulo,Trumpets,pop,,
Katy Perry,Unconditionally,pop,,
Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),rock,,
Disclosure,You & Me,electronic,,
Bring Me The Horizon,Can You Feel My Heart,metal,,
J. Cole,Power Trip,hip_hop,,
Kelly Clarkson,Underneath the Tree,pop,,
J. Cole,She Knows,hip_hop,,
Marc Anthony,Vivir Mi Vida,pop,7/23/2013,0.0
Lorde,Ribs,pop,,
Kanye West,Black Skinhead,hip_hop,,
BeyoncÃ©,Drunk in Love,pop,,
Ed Sheeran,Tenerife Sea,pop,,
One Direction,You & I,pop,,
Avenged Sevenfold,Hail to the King,metal,,
Daft Punk,Instant Crush,electronic,,
One Direction,Best Song Ever,pop,,
Arctic Monkeys,Snap Out Of It,rock,,
Plan B,Candy,world,,
Echosmith,Cool Kids,pop,6/11/2013,0.0
Chris Brown,Loyal,rb_soul,,
Lady Gaga,Applause,pop,,
Arctic Monkeys,Arabella,rock,,
Luke Bryan,Play It Again,world,,
Ed Sheeran,Sing,pop,,
Cults,Always Forever,pop,,
DJ Snake,Turn Down for What,pop,12/18/2013,0.0
salvia palth,i was all over her,world,,
Drake,Started From the Bottom,hip_hop,,
Daft Punk,Get Lucky,electronic,,
Michael BublÃ©,Feeling Good,other,,
Stromae,Papaoutai,pop,,
Hozier,Cherry Wine,rock,,
OneRepublic,I Lived,pop,,
Ludovico Einaudi,Experience,rb_soul,,
Hillsong UNITED,Oceans (Where Feet May Fail),other,,
Paramore,Ain't It Fun,pop,,
Twenty One Pilots,Car Radio,rock,,
Drake,From Time,hip_hop,,
2 Chainz,We Own It (Fast & Furious),hip_hop,,
Drake,0 To 100 / The Catch Up,hip_hop,,
Jason Derulo,Wiggle,pop,,
The Neighbourhood,Afraid,rock,,
J Balvin,6 AM,world,,
Ariana Grande,The Way,pop,,
One Direction,Right Now,pop,,
Hozier,Like Real People Do,rock,,
Christina Perri,human,pop,,
Cage The Elephant,Come a Little Closer,rock,,
The 1975,Chocolate,rock,,
Avicii,Addicted To You,pop,,
Childish Gambino,IV. Sweatpants,hip_hop,,
Martin Garrix,Animals,electronic,1/1/2013,1.0
Martin Garrix,Animals,electronic,1/1/2014,0.0
Big Sean,Beware,hip_hop,,
Selena Gomez,Come & Get It,pop,1/1/2013,0.0
Prince Royce,Darte un Beso,world,,
The 1975,Robbers,rock,,
Florida Georgia Line,This Is How We Roll,world,,
M.I.A.,Bad Girls,hip_hop,,
Arctic Monkeys,Knee Socks,rock,,
OneRepublic,If I Lose Myself,pop,,
Sam Smith,Money On My Mind,pop,,
Sam Smith,Latch,pop,,
Five Finger Death Punch,Wrong Side of Heaven,metal,,
Luke Bryan,That's My Kind Of Night,world,,
Drake,All Me,hip_hop,,
Miley Cyrus,Adore You,pop,,
B.o.B,HeadBand,rock,,
Lily Allen,Somewhere Only We Know,pop,,
Panic! At The Disco,This Is Gospel,pop,,
Fall Out Boy,The Phoenix,rock,,
Tom Odell,Heal,pop,,
Mike WiLL Made-It,23,hip_hop,1/1/2013,1.0
Banda Los Recoditos,Mi Ãltimo Deseo,world,,
Armin van Buuren,This Is What It Feels Like,electronic,,
YG,My Hitta,pop,,
Britney Spears,Work Bitch,pop,,
Twenty One Pilots,House of Gold,rock,,
Ed Sheeran,I'm a Mess,pop,,
Ed Sheeran,All of the Stars,pop,,
JAY-Z,Holy Grail,hip_hop,,
A$AP Rocky,Wild for the Night,hip_hop,,
Woodkid,Run Boy Run,pop,,
Jeremih,All The Time,hip_hop,,
We The Kings,Sad Song,pop,,
Daft Punk,Lose Yourself to Dance,electronic,,
Lorde,Tennis Court,pop,,
JhenÃ© Aiko,The Worst,rb_soul,,
Birdy,Wings,rock,,
Ed Sheeran,Bloodstream,pop,,
Sara Bareilles,Brave,pop,,
Ariana Grande,Almost Is Never Enough,pop,,
One Direction,Strong,pop,,
Avicii,You Make Me,pop,,
Eminem,Berzerk,hip_hop,,
Major Lazer,Watch Out For This (Bumaye),pop,,
J. Cole,Crooked Smile,hip_hop,,
Banda Tierra Sagrada,La Buena y la Mala,world,,
Aloe Blacc,The Man,pop,,
Marc Anthony,Flor PÃ¡lida,pop,,
Stromae,Tous les mÃªmes,pop,,
Foals,My Number,electronic,,
Yung Lean,Ginseng Strip 2002,hip_hop,1/1/2013,1.0
Drake,Pound Cake / Paris Morton Music 2,hip_hop,,
BeyoncÃ©,XO,pop,,
A$AP Rocky,Fashion Killa,hip_hop,,
Ed Sheeran,One,pop,,
Kodaline,High Hopes,pop,,
Katy Perry,This Is How We Do,pop,,
Mithoon,Tum Hi Ho,world,,
Sevyn Streeter,It Won't Stop,pop,,
Milky Chance,Flashed Junk Mind,pop,,
Stromae,Formidable,pop,,
DVBBS,Tsunami,electronic,,
Klangkarussell,Sonnentanz,pop,,
will.i.am,#thatPOWER,pop,,
Duelo,PuÃ±o De Diamantes,pop,,
Eminem,Survival,hip_hop,,
Pritam,Kabira,world,,
Sage The Gemini,Gas Pedal,hip_hop,3/19/2013,1.0
Empire Of The Sun,Alive,electronic,,
James Blunt,Bonfire Heart,rock,,
Fergie,A Little Party Never Killed Nobody (All We Got),pop,,
Banda MS de Sergio LizÃ¡rraga,Hermosa Experiencia,world,,
Anna Kendrick,Cups (Pitch Perfectâs âWhen Iâm Goneâ),pop,,
ArcÃ¡ngel,Hace Mucho Tiempo,hip_hop,,
JhenÃ© Aiko,Stay Ready (What A Life),rb_soul,,
